,precision,recall,f1-score,support
Afghani,0.0,0.0,0.0,1.0
American,0.0,0.0,0.0,6.0
"American, BBQ, Burger",0.0,0.0,0.0,1.0
"American, BBQ, Steak",0.0,0.0,0.0,1.0
"American, Bar Food",1.0,1.0,1.0,1.0
"American, Breakfast",0.0,0.0,0.0,2.0
"American, Breakfast, Burger",0.0,0.0,0.0,1.0
"American, Burger",0.0,0.0,0.0,3.0
"American, Burger, Sandwich",0.0,0.0,0.0,1.0
"American, Fast Food",0.0,0.0,0.0,4.0
"American, Fast Food, Burger",1.0,0.5,0.6666666666666666,2.0
"American, Fast Food, Salad, Healthy Food",0.6666666666666666,0.9230769230769231,0.7741935483870968,13.0
"American, Italian",0.0,0.0,0.0,1.0
"American, Italian, Pizza",1.0,1.0,1.0,1.0
"American, Mexican",0.0,0.0,0.0,1.0
"American, Pizza, Bar Food",0.0,0.0,0.0,1.0
"American, Seafood, Steak",0.0,0.0,0.0,2.0
"American, Southern",0.0,0.0,0.0,1.0
"American, Steak",0.0,0.0,0.0,1.0
"American, Tex-Mex",0.0,0.0,0.0,1.0
Asian,0.0,0.0,0.0,4.0
"Asian, Chinese",0.0,0.0,0.0,2.0
"Asian, Thai",0.0,0.0,0.0,1.0
"Asian, Thai, Chinese",0.0,0.0,0.0,1.0
BBQ,0.0,0.0,0.0,2.0
"BBQ, Burger, Seafood",0.0,0.0,0.0,0.0
Bakery,0.15151515151515152,0.11363636363636363,0.12987012987012986,44.0
"Bakery, Cafe",0.0,0.0,0.0,1.0
"Bakery, Chinese",0.0,0.0,0.0,1.0
"Bakery, Chinese, Fast Food",0.0,0.0,0.0,1.0
"Bakery, Desserts",0.26666666666666666,0.23529411764705882,0.25,34.0
"Bakery, Desserts, Beverages",0.0,0.0,0.0,1.0
"Bakery, Desserts, Cafe",0.0,0.0,0.0,1.0
"Bakery, Desserts, Fast Food",0.16666666666666666,0.15384615384615385,0.16,13.0
"Bakery, Fast Food",0.0,0.0,0.0,22.0
"Bakery, Fast Food, Chinese",0.0,0.0,0.0,1.0
"Bakery, Fast Food, Desserts",0.0,0.0,0.0,1.0
"Bakery, Italian, Chinese, Mexican",0.0,0.0,0.0,1.0
"Bakery, Mithai",0.0,0.0,0.0,1.0
Bar Food,0.0,0.0,0.0,1.0
"Bar Food, Brazilian",0.0,0.0,0.0,0.0
Bengali,0.0,0.0,0.0,1.0
"Bengali, North Indian",0.0,0.0,0.0,1.0
"Bengali, Seafood",0.0,0.0,0.0,0.0
Beverages,0.6,0.5454545454545454,0.5714285714285714,11.0
"Beverages, Fast Food",0.0,0.0,0.0,3.0
Bihari,0.0,0.0,0.0,1.0
Biryani,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
"Biryani, Hyderabadi",0.0,0.0,0.0,2.0
"Biryani, Mughlai",0.0,0.0,0.0,4.0
"Biryani, North Indian",0.3333333333333333,0.25,0.2857142857142857,4.0
"Biryani, North Indian, Hyderabadi",0.0,0.0,0.0,1.0
"Biryani, North Indian, Mughlai",0.0,0.0,0.0,1.0
Brazilian,0.4,1.0,0.5714285714285714,2.0
"Brazilian, Bar Food",0.0,0.0,0.0,1.0
Breakfast,0.0,0.0,0.0,1.0
"Breakfast, Burger",0.0,0.0,0.0,1.0
"Breakfast, Sandwich",0.0,0.0,0.0,0.0
British,0.0,0.0,0.0,1.0
Burger,0.0,0.0,0.0,1.0
"Burger, American",0.0,0.0,0.0,1.0
"Burger, American, Fast Food",0.0,0.0,0.0,1.0
"Burger, Desserts, Fast Food",0.2,0.2,0.2,5.0
"Burger, Fast Food",0.375,0.3333333333333333,0.35294117647058826,9.0
"Burger, Fast Food, Chinese",0.0,0.0,0.0,1.0
"Burger, Seafood, Steak",0.0,0.0,0.0,1.0
